sender,receiver,amount,timestamp
VIC_AMIT_101,MULE_ROHIT_401,145000,2026-08-22 09:10:00
VIC_AMIT_101,MULE_SNEHA_402,95000,2026-08-22 09:12:00
VIC_SUNITA_102,MULE_ROHIT_401,220000,2026-08-22 09:15:00
VIC_RAJESH_103,MULE_SNEHA_402,180000,2026-08-22 09:20:00
VIC_MANISH_104,MULE_KARAN_403,310000,2026-08-22 09:25:00
VIC_PRIYA_105,MULE_KARAN_403,260000,2026-08-22 09:30:00
VIC_DEEPAK_106,MULE_POOJA_404,190000,2026-08-22 09:35:00
MULE_ROHIT_401,HUB_VIKRAM_701,350000,2026-08-22 10:05:00
MULE_SNEHA_402,HUB_VIKRAM_701,265000,2026-08-22 10:12:00
MULE_KARAN_403,HUB_ANAND_702,540000,2026-08-22 10:20:00
MULE_POOJA_404,HUB_ANAND_702,185000,2026-08-22 10:25:00
MULE_SNEHA_402,HUB_ANAND_702,100000,2026-08-22 10:28:00
HUB_VIKRAM_701,HUB_ANAND_702,300000,2026-08-22 11:00:00
HUB_VIKRAM_701,CASHOUT_ATM_DELHI_01,290000,2026-08-22 11:15:00
HUB_ANAND_702,CASHOUT_ATM_MUMBAI_02,480000,2026-08-22 11:30:00
HUB_ANAND_702,CRYPTO_BINANCE_WALLET_01,350000,2026-08-22 11:45:00
HUB_ANAND_702,HAWALA_SINK_UAE_09,280000,2026-08-22 12:00:00
